BMTC2,Blue_Mountain,Sun Sep 28 15:00:00 PDT 2003,2.24,0.00
QURC2,Quincy_Res,Sun Sep 28 15:00:00 PDT 2003,1.39,321.00
DHPC2,Diamond_Hill,Sun Sep 28 15:00:00 PDT 2003,0.89,90.00
EBBC2,Elbert,Sun Sep 28 15:00:00 PDT 2003,4.16,202.00
BHNC2,Brighton,Sun Sep 28 15:00:00 PDT 2003,0.58,62.00
HGCC2,Hiwan_G.C.,Sun Sep 28 15:00:00 PDT 2003,0.89,124.00
HIGC2,Highlands_Ranch_WTP,Sun Sep 28 15:00:00 PDT 2003,0.63,22.00
SAPC2,Salisbury_Park,Sun Sep 28 15:00:00 PDT 2003,1.03,186.00
COKC2,Castle_Rock,Sun Sep 28 15:00:00 PDT 2003,0.45,180.00
WRDC2,Ward_C-1,Sun Sep 28 15:00:00 PDT 2003,0.85,28.00
SFSC2,Sugarloaf,Sun Sep 28 15:00:00 PDT 2003,1.30,96.00
LEWC2,Louisville_Lake,Sun Sep 28 15:00:00 PDT 2003,0.80,79.00
CALC2,Cal-Wood_Ranch,Sun Sep 28 15:00:00 PDT 2003,1.43,146.00
BTRC2,Button_Rock,Sun Sep 28 15:00:00 PDT 2003,1.43,101.00
DUD06,Marston_Lake_North,Sun Sep 28 15:00:00 PDT 2003,1.25,354.00
H0002,KNCTODD1               Jefferson     NC,Sun Sep 28 15:01:00 PDT 2003,1.34,160.00
H0003,Black River Electric   Fredericktown MO,Sun Sep 28 15:02:00 PDT 2003,3.13,310.00
H0344,BlueStar Systems       Milford      OH,Sun Sep 28 15:00:00 PDT 2003,0.00,10.00
H0004,BoblandUSA             San Diego     CA,Sun Sep 28 15:02:00 PDT 2003,1.34,210.00
H0364,BoltAssociates         Beltsville    MD,Sun Sep 28 15:01:00 PDT 2003,0.00,340.00
H0010,Mac Weather            Charlottetown PE,Sun Sep 28 15:00:00 PDT 2003,2.24,160.00
H0012,Crowley TX WX Page     Crowley       TX,Sun Sep 28 15:01:00 PDT 2003,1.79,10.00
H0449,West Houston	        Houston	     TX,Sun Sep 28 15:00:00 PDT 2003,0.00,100.00
H0017,Olathe        KS,Sun Sep 28 15:00:00 PDT 2003,3.58,290.00
H0020,Gilbert       AZ,Sun Sep 28 15:03:00 PDT 2003,0.00,240.00
H0024,Cornelius     OR,Sun Sep 28 15:02:00 PDT 2003,0.00,20.00
H0029,Affton        MO,Sun Sep 28 15:00:00 PDT 2003,0.45,240.00
H0299,KALB Studios           Alexandria    LA,Sun Sep 28 15:00:00 PDT 2003,6.71,30.00
H0182,Apache Juncti AZ,Sun Sep 28 15:01:00 PDT 2003,0.89,260.00
H0462,Chandler     AZ,Sun Sep 28 15:00:00 PDT 2003,2.24,290.00
H0163,Aspen Trails Subdiv. WX Flagstaff    AZ,Sun Sep 28 15:05:00 PDT 2003,4.02,220.00
H0489,Pagosa Springs CO,Sun Sep 28 15:00:00 PDT 2003,1.79,250.00
H0031,Rainbow City  AL,Sun Sep 28 15:00:00 PDT 2003,2.68,330.00
H0032,Hendersonvill TN,Sun Sep 28 15:00:00 PDT 2003,0.89,10.00
H0498,Balboa	     CA,Sun Sep 28 15:01:00 PDT 2003,1.34,260.00
H0339,Williams Worship       Bellflower    CA,Sun Sep 28 15:01:00 PDT 2003,1.34,220.00
H0464,Citrus Heights CA,Sun Sep 28 15:00:00 PDT 2003,1.34,140.00
H0300,Cloverdale    CA,Sun Sep 28 15:02:00 PDT 2003,1.34,230.00
H0450,Dublin       CA,Sun Sep 28 15:00:00 PDT 2003,0.00,140.00
H0294,Rancho San Diego       El Cajon      CA,Sun Sep 28 15:00:00 PDT 2003,1.79,90.00
H0560,El Dorado Hills	Dartboard Wx CA,Sun Sep 28 15:00:00 PDT 2003,3.13,210.00
H0232,Emerald Hills          Redwood City  CA,Sun Sep 28 15:02:00 PDT 2003,2.24,280.00
H0266,Springville Networks   Fortuna       CA,Sun Sep 28 15:00:00 PDT 2003,1.79,30.00
H0561,Grass Valley			     CA,Sun Sep 28 15:00:00 PDT 2003,0.00,250.00
H0238,Lake Forest   CA,Sun Sep 28 15:03:00 PDT 2003,1.79,200.00
H0333,Cathouse Backyard WX   Lakeside      CA,Sun Sep 28 15:02:00 PDT 2003,1.34,280.00
H0158,Lancaster     CA,Sun Sep 28 15:01:00 PDT 2003,1.34,230.00
H0465,Occidental   CA,Sun Sep 28 15:02:00 PDT 2003,2.68,330.00
H0345,Palmdale      CA,Sun Sep 28 15:04:00 PDT 2003,2.68,260.00
H0268,Sacramento    CA,Sun Sep 28 15:00:00 PDT 2003,1.34,260.00
H0124,Herman Middle School   San Jose      CA,Sun Sep 28 15:03:00 PDT 2003,1.79,290.00
H0164,San Luis Obis CA,Sun Sep 28 15:00:00 PDT 2003,1.34,30.00
H0269,South Valley Internet  San Martin    CA,Sun Sep 28 15:00:00 PDT 2003,1.79,40.00
H0259,Pickles Central        San Rafael    CA,Sun Sep 28 15:00:00 PDT 2003,2.68,100.00
H0452,Santa Rosa   CA,Sun Sep 28 15:00:00 PDT 2003,0.45,320.00
H0506,Visalia	     CA,Sun Sep 28 15:02:00 PDT 2003,1.34,90.00
H0442,Whittier     CA,Sun Sep 28 15:00:00 PDT 2003,2.68,220.00
H0349,Boulder       CO,Sun Sep 28 15:01:00 PDT 2003,0.00,180.00
H0185,On the Mesa            Meeker        CO,Sun Sep 28 15:01:00 PDT 2003,4.02,260.00
H0325,Summit County CO,Sun Sep 28 15:00:00 PDT 2003,0.45,50.00
H0189,Canterbury    CT,Sun Sep 28 15:03:00 PDT 2003,0.45,0.00
H0350,Barn Hill              Monroe        CT,Sun Sep 28 15:00:00 PDT 2003,0.45,280.00
H0035,Bristol, VA WX Station Bristol       VA,Sun Sep 28 15:01:00 PDT 2003,2.24,260.00
H0036,Dunstable     MA,Sun Sep 28 15:00:00 PDT 2003,0.00,40.00
H0038,Kennesaw      GA,Sun Sep 28 15:03:00 PDT 2003,0.00,230.00
H0040,Sebastopol    CA,Sun Sep 28 15:01:00 PDT 2003,0.45,270.00
H0224,Boynton Beach FL,Sun Sep 28 15:00:00 PDT 2003,0.00,140.00
H0351,Port St. John Weather  Cocoa         FL,Sun Sep 28 15:01:00 PDT 2003,0.00,300.00
H0295,Lake Mary     FL,Sun Sep 28 15:02:00 PDT 2003,0.00,260.00
H0315,Memory Makers, Inc.    Sebastian     FL,Sun Sep 28 15:03:00 PDT 2003,0.00,170.00
H0175,Sampson                St. Augustine FL,Sun Sep 28 15:00:00 PDT 2003,0.00,230.00
H0509,Buchanan     GA,Sun Sep 28 15:00:00 PDT 2003,0.00,80.00
H0186,Dalton        GA,Sun Sep 28 15:02:00 PDT 2003,0.89,130.00
H0571,Hemet				     CA,Sun Sep 28 15:00:00 PDT 2003,1.79,250.00
H0573,Charles City			     IA,Sun Sep 28 15:02:00 PDT 2003,7.15,320.00
H0183,New Hampton   IA,Sun Sep 28 15:01:00 PDT 2003,3.13,290.00
H0195,Van Meter     IA,Sun Sep 28 15:00:00 PDT 2003,2.24,10.00
H0427,Bloomington  IL,Sun Sep 28 15:00:00 PDT 2003,1.79,310.00
H0205,Olathe        KS,Sun Sep 28 15:02:00 PDT 2003,1.34,250.00
H0287,Arlington Center       Arlington     MA,Sun Sep 28 15:03:00 PDT 2003,0.00,170.00
H0518,Lynn	     MA,Sun Sep 28 15:00:00 PDT 2003,0.00,80.00
H0297,Uxbridge      MA,Sun Sep 28 15:01:00 PDT 2003,0.00,280.00
H0188,Dundalk WX - N3VBJ     Baltimore     MD,Sun Sep 28 15:02:00 PDT 2003,2.24,30.00
H0150,Davisburg     MI,Sun Sep 28 15:03:00 PDT 2003,3.58,300.00
H0373,Parchment/Spring Valley Kalamazoo   MI,Sun Sep 28 15:00:00 PDT 2003,1.34,250.00
H0253,Blaine        MN,Sun Sep 28 15:00:00 PDT 2003,0.00,330.00
H0307,Bloomington   MN,Sun Sep 28 15:00:00 PDT 2003,1.34,300.00
H0273,Minnesotaweathernet    Franklin      MN,Sun Sep 28 15:00:00 PDT 2003,2.68,340.00
H0354,Monticello    MN,Sun Sep 28 15:01:00 PDT 2003,2.24,300.00
